"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 28 13:46:31 NZST 2023","Wed Jun 28 13:46:39 NZST 2023","8225","chromium","","","","","test",""
"passed","Wed Jun 28 13:46:39 NZST 2023","Wed Jun 28 13:46:44 NZST 2023","4839","webkit","","","","","Navigating to Launge of Warehouse website - 2",""
"failed","Wed Jun 28 13:47:13 NZST 2023","Wed Jun 28 13:47:44 NZST 2023","30994","chromium","","","","","Navigating to Launge of Warehouse website",""
"passed","Wed Jun 28 13:46:44 NZST 2023","Wed Jun 28 13:46:54 NZST 2023","9655","webkit","","Test Navigation of Warehouse website","","","To Navigate to Car Electronics page",""
"passed","Wed Jun 28 13:46:31 NZST 2023","Wed Jun 28 13:46:36 NZST 2023","5594","chromium","","Test Navigation of Warehouse website","","","To Navigate to Car Electronics page",""
"passed","Wed Jun 28 13:46:31 NZST 2023","Wed Jun 28 13:46:41 NZST 2023","10699","chromium","","","","","Navigating to Launge of Warehouse website - 2",""
"skipped","Wed Jun 28 13:46:31 NZST 2023","Wed Jun 28 13:46:35 NZST 2023","4329","chromium","","Test Navigation of Warehouse website","","","To Navigate to lounge page",""
"skipped","Wed Jun 28 13:46:42 NZST 2023","Wed Jun 28 13:46:55 NZST 2023","13418","webkit","","Test Navigation of Warehouse website","","","To Navigate to lounge page",""
"failed","Wed Jun 28 13:47:24 NZST 2023","Wed Jun 28 13:47:39 NZST 2023","14233","webkit","","","","","Navigating to Launge of Warehouse website",""
"passed","Wed Jun 28 13:46:36 NZST 2023","Wed Jun 28 13:46:51 NZST 2023","15116","webkit","","","","","test",""
